Codigo do Reembolso,Nome do Parlamentar,Ano do Gasto,Tipo da Cota,Fornecedor,Valor
"<a href=""/layers/#/documentId/6665603/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Telefonia,Telefônica Brasil S. A.,"R$ 491,03","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Serviços postais,CORREIOS - SEDEX CONVENCIONAL,"R$ 36,76","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Serviços postais,CORREIOS - SEDEX 12,"R$ 69,30","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6662651/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Telefonia,NET CLARO,"R$ 176,63","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6654600/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Combustíveis e lubrificantes,FRATELLI POSTO DE COMBUSTIVEIS LTDA,"R$ 91,10","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6662652/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Telefonia,NET CLARO,"R$ 359,91","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6642425/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Telefonia,TELEFONICA BRASIL S.A.,"R$ 489,99","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6641228/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Locação ou fretamento de veículos automotores,QUASAR LOCADORA DE VEICULOS LTDA - EPP,"R$ 3800,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Serviços postais,CORREIOS - SEDEX 10,"R$ 150,30","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6640855/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Manutenção de escritório de apoio à atividade parlamentar,CLARO S.A.,"R$ 184,99","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6659038/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Assinatura de publicações,Editora Globo S.A. PARQUE GRÁFICO,"R$ 139,90","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6627772/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Fornecimento de alimentação do parlamentar,PBJM COMERCIO DE GENEROS ALIMENTICIOS LTDA - EPP,"R$ 54,89","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Serviços postais,CORREIOS - CARTA COMERCIAL,"R$ 3,70","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - GOL,"R$ 790,27","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6640872/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Telefonia,CLARO S.A.,"R$ 445,21","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
